6\left(1+6z-2z+3\right),distributor_expression
7^{-6},exponential_expression_1
a=-1,solution_equation
-\left(9^a\right),exponential_expression_2
-\left(7^7\right),exponential_expression_1
5^{-2},exponential_expression_1
5^a,exponential_expression_2
\frac{6}{8^a},frac_exponential_expression_2
a,variable
a^b,exponential_expression_4
\frac{-9}{a^b},frac_exponential_expression_4
\frac{5}{7^a},frac_exponential_expression_2
-\left(8^a\right),exponential_expression_2
\frac{2}{\frac{-9}{-5}},frac_division_expression
a^b,exponential_expression_4
2y+5+y-2=0,linear_equation
-\left(4^5\right),exponential_expression_1
-9-7y-6+8y,linear_expression
a^3,exponential_expression_3
a=-4,solution_equation
\frac{-8}{a^b},frac_exponential_expression_4
\frac{5}{a^b},frac_exponential_expression_4
-8\left(-8y+5-3y-6\right),distributor_expression
-9a+9b-c,variable_expression1
7\left(-1-6z+6z+1\right),distributor_expression
-5y+2,linear_expression
-3a b c,variable_expression2
-\left(2^a\right),exponential_expression_2
5+5x,linear_expression
a,variable
a>-5,inequality_equation
a>-3,inequality_equation
\frac{-6}{-4\times-2},frac_multiplication_expression
\frac{3}{a^{-8}},frac_exponential_expression_3
{-1}^{8a-2},exponential_expression_1_1
9^{-5},exponential_expression_1
-5a-2b-5c,variable_expression1
a=4,solution_equation
a^b,exponential_expression_4
-6a b c,variable_expression2
a^b,exponential_expression_4
-6\left(5z-8\right)=9\left(-7-8z\right)-6\left(9+6z-3+8z\right),linear_equation
\frac{-4}{7\times6},frac_multiplication_expression
-2z+6-3z-5,linear_expression
\frac{2}{a^7},frac_exponential_expression_3
\frac{-9}{a^3},frac_exponential_expression_3
a<-1,inequality_equation
a,variable
{-1}^{-4a+5},exponential_expression_1_1
\frac{5}{a^{-3}},frac_exponential_expression_3
-7a+5b+8c,variable_expression1
\frac{7}{a^b},frac_exponential_expression_4
a<4,inequality_equation
\frac{-1}{a^b},frac_exponential_expression_4
4^{-1},exponential_expression_1
a^b,exponential_expression_4
a=4,solution_equation
-2a+7b+5c,variable_expression1
-3\left(-6+6x\right)=-3-7x+3x+6,linear_equation
\frac{6}{5^{-6}},frac_exponential_expression_1
a^{-2},exponential_expression_3
6a b c,variable_expression2
2a b c,variable_expression2
\frac{1}{-\left(5^8\right)},frac_exponential_expression_1
\frac{-2}{4^{-5}},frac_exponential_expression_1
\frac{-2}{-\left(2^7\right)},frac_exponential_expression_1
\frac{9}{-8\times-5},frac_multiplication_expression
a^b,exponential_expression_4
a,variable
3\left(9+7z\right)+7\left(-1+3z-5+7z\right),distributor_expression
a=-5,solution_equation
a=-6,solution_equation
a>-5,inequality_equation
a^7,exponential_expression_3
\frac{2}{a^5},frac_exponential_expression_3
-2\left(4-3x-8x-7\right)-9\left(x-2+8+4x\right)=-4+6x,linear_equation
-\left(6^a\right),exponential_expression_2
a^3,exponential_expression_3
a>-2,inequality_equation
a^{-9},exponential_expression_3
\frac{6}{a^7},frac_exponential_expression_3
\frac{6}{5^a},frac_exponential_expression_2
a<-3,inequality_equation
5a b c,variable_expression2
a,variable
a,variable
-5a-3b+9c,variable_expression1
a>3,inequality_equation
-6a-5b-3c,variable_expression1
-\left(8x+1\right)-9\left(x-5\right)=4x+8+4x+7,linear_equation
a,variable
a^b,exponential_expression_4
\frac{-5}{6^a},frac_exponential_expression_2
a<-9,inequality_equation
2^{-3},exponential_expression_1
a<-2,inequality_equation
9z+1-4z+6,linear_expression
\frac{2}{a^b},frac_exponential_expression_4
a,variable
-3+5y-2y+4,linear_expression
\frac{6}{-\left(5^2\right)},frac_exponential_expression_1
\frac{2}{4^a},frac_exponential_expression_2
{-1}^{-3a+7},exponential_expression_1_1
a=7,solution_equation
a^{-9},exponential_expression_3
-2a-7b-5c,variable_expression1
-\left(2^a\right),exponential_expression_2
a^{-3},exponential_expression_3
\frac{-6}{9\times-8},frac_multiplication_expression
-9\left(2-8y\right)-2\left(9+7y\right),distributor_expression
{-1}^{5a+6},exponential_expression_1_1
\frac{-4}{a^b},frac_exponential_expression_4
a^b,exponential_expression_4
4a+4b-7c,variable_expression1
7a b c,variable_expression2
\frac{-9}{-\left(7^{-9}\right)},frac_exponential_expression_1
-a-6b+2c,variable_expression1
9+3y+6y+8=-3-2y-2-6y,linear_equation
\frac{8}{\frac{-3}{-3}},frac_division_expression
a>4,inequality_equation
a=-2,solution_equation
\frac{-1}{9^a},frac_exponential_expression_2
5^a,exponential_expression_2
a=-1,solution_equation
\frac{3}{a^{-8}},frac_exponential_expression_3
a^b,exponential_expression_4
8a+6b+2c,variable_expression1
\frac{1}{-\left(5^{-9}\right)},frac_exponential_expression_1
a<-8,inequality_equation
\frac{-3}{a^b},frac_exponential_expression_4
-9-y+1-9y=-4y+9+5-4y,linear_equation
\frac{1}{a^{-6}},frac_exponential_expression_3
\frac{3}{-2\times-9},frac_multiplication_expression
a^6,exponential_expression_3
6^a,exponential_expression_2
\frac{7}{-\left(5^7\right)},frac_exponential_expression_1
2^{-5},exponential_expression_1
8x+4,linear_expression
\frac{-8}{-\left(2^{-2}\right)},frac_exponential_expression_1
8^{-8},exponential_expression_1
2\left(-3+y+3y-5\right)-2\left(3+9y\right),distributor_expression
\frac{-4}{-\left(5^6\right)},frac_exponential_expression_1
{-1}^{-2a-6},exponential_expression_1_1
a=-8,solution_equation
\frac{-5}{-\left(2^a\right)},frac_exponential_expression_2
\frac{3}{a^b},frac_exponential_expression_4
-7+y,linear_expression
-4\left(-8x+2\right)-9\left(-6+2x+1+5x\right),distributor_expression
\frac{9}{a^{-5}},frac_exponential_expression_3
{-1}^{4a-1},exponential_expression_1_1
a^{-3},exponential_expression_3
8\left(-9z-3-8z+9\right)-3\left(5z+9-z+7\right),distributor_expression
\frac{-2}{a^b},frac_exponential_expression_4
-\left(2^2\right),exponential_expression_1
\frac{-3}{2^{-3}},frac_exponential_expression_1
-3-8y+8y-4,linear_expression
-3a-2b-9c,variable_expression1
a,variable
a>8,inequality_equation
-5\left(8x-9\right),distributor_expression
-\left(6^a\right),exponential_expression_2
5^a,exponential_expression_2
{-1}^{-2a-5},exponential_expression_1_1
a>-2,inequality_equation
-3a b c,variable_expression2
-\left(3x-5+4x+4\right),distributor_expression
a^5,exponential_expression_3
a,variable
a<-4,inequality_equation
\frac{-4}{\frac{-2}{-9}},frac_division_expression
-2x+2=8\left(-4+2x\right),linear_equation
-4\left(6-y\right),distributor_expression
-5z-4-4z+3,linear_expression
-7a+5b-3c,variable_expression1
a^{-8},exponential_expression_3
\frac{-5}{-\left(7^{-1}\right)},frac_exponential_expression_1
-8a+8b+3c,variable_expression1
a^b,exponential_expression_4
a>-2,inequality_equation
-9z+9=0,linear_equation
8\left(2y+9-3y+9\right)=y-6+9+y,linear_equation
4\left(6-5y\right)-8\left(-2-y\right),distributor_expression
\frac{-8}{a^1},frac_exponential_expression_3
\frac{7}{\frac{-7}{6}},frac_division_expression
-5+4y=2\left(6+5y+7y-2\right),linear_equation
\frac{-1}{\frac{-1}{-5}},frac_division_expression
9z-1,linear_expression
-5+9y,linear_expression
\frac{-4}{-6\times-7},frac_multiplication_expression
\frac{-5}{a^b},frac_exponential_expression_4
a=-1,solution_equation
\frac{4}{7^a},frac_exponential_expression_2
\frac{1}{a^b},frac_exponential_expression_4
2\left(5-2y-y+5\right),distributor_expression
\frac{-7}{\frac{-8}{-5}},frac_division_expression
\frac{3}{-\left(5^a\right)},frac_exponential_expression_2
-\left(8^a\right),exponential_expression_2
-8a+8b+4c,variable_expression1
\frac{1}{a^8},frac_exponential_expression_3
\frac{6}{-6},frac_multiplication_expression
{-1}^{4a+3},exponential_expression_1_1
a^{-1},exponential_expression_3
{-1}^{5a-3},exponential_expression_1_1
a<-3,inequality_equation
\frac{8}{-\left(6^5\right)},frac_exponential_expression_1
\frac{1}{a^{-7}},frac_exponential_expression_3
a^b,exponential_expression_4
3^a,exponential_expression_2
\frac{-7}{a^b},frac_exponential_expression_4
\frac{4}{2\times-8},frac_multiplication_expression
-9+x=-8\left(-8x+5\right),linear_equation
{-1}^{-3a-6},exponential_expression_1_1
-\left(7^a\right),exponential_expression_2
\frac{5}{\frac{-7}{1}},frac_division_expression
a^b,exponential_expression_4
\frac{2}{-\left(2^a\right)},frac_exponential_expression_2
a^b,exponential_expression_4
\frac{4}{2^{-2}},frac_exponential_expression_1
\frac{9}{a^4},frac_exponential_expression_3
a,variable
a>4,inequality_equation
a^b,exponential_expression_4
6-3z=-9z-4-1+3z,linear_equation
{-1}^{-7a+6},exponential_expression_1_1
\frac{2}{a^b},frac_exponential_expression_4
\frac{9}{\frac{-9}{4}},frac_division_expression
{-1}^{2a-7},exponential_expression_1_1
a,variable
a^b,exponential_expression_4
\frac{-6}{a^b},frac_exponential_expression_4
\frac{7}{-8\times8},frac_multiplication_expression
-7-5y+2+4y=y-6,linear_equation
a=-1,solution_equation
{-1}^{a+2},exponential_expression_1_1
5^a,exponential_expression_2
\frac{2}{8},frac_multiplication_expression
a^b,exponential_expression_4
a=-3,solution_equation
-7a b c,variable_expression2
9a-9b+2c,variable_expression1
\frac{-4}{5^{-6}},frac_exponential_expression_1
\frac{4}{4\times-7},frac_multiplication_expression
a>4,inequality_equation
7^{-2},exponential_expression_1
2x+2,linear_expression
-2a+9b-3c,variable_expression1
a^b,exponential_expression_4
\frac{4}{4^{-8}},frac_exponential_expression_1
a>2,inequality_equation
\frac{8}{6^a},frac_exponential_expression_2
{-1}^{-3a+7},exponential_expression_1_1
a>-8,inequality_equation
{-1}^{-3a+9},exponential_expression_1_1
a^{-9},exponential_expression_3
-7-5x,linear_expression
a^b,exponential_expression_4
5y-9=0,linear_equation
a^{-2},exponential_expression_3
\frac{7}{-\left(5^a\right)},frac_exponential_expression_2
-6-y,linear_expression
\frac{7}{9\times-1},frac_multiplication_expression
\frac{2}{8^{-7}},frac_exponential_expression_1
\frac{-1}{-4\times8},frac_multiplication_expression
3^3,exponential_expression_1
-\left(2^{-9}\right),exponential_expression_1
a^b,exponential_expression_4
a^b,exponential_expression_4
\frac{4}{-8\times4},frac_multiplication_expression
{-1}^{-7a+2},exponential_expression_1_1
\frac{-3}{9^{-9}},frac_exponential_expression_1
\frac{-5}{a^1},frac_exponential_expression_3
{-1}^{-2a+8},exponential_expression_1_1
-6\left(7+7z\right)+6\left(2z+9+3z+6\right)=2-8z+5+5z,linear_equation
\frac{5}{\frac{2}{4}},frac_division_expression
a>9,inequality_equation
-6a-3b+7c,variable_expression1
a<-1,inequality_equation
a^{-1},exponential_expression_3
\frac{-7}{a^{-6}},frac_exponential_expression_3
2z-9+3+8z,linear_expression
-\left(3^{-2}\right),exponential_expression_1
7\left(-2+9z\right)-8\left(3-7z\right),distributor_expression
8^a,exponential_expression_2
-\left(3^a\right),exponential_expression_2
6^{-2},exponential_expression_1
a^b,exponential_expression_4
a>-9,inequality_equation
\frac{-6}{a^9},frac_exponential_expression_3
\frac{-4}{7\times5},frac_multiplication_expression
-\left(8^a\right),exponential_expression_2
-a-3b-2c,variable_expression1
7a b c,variable_expression2
9\left(2+6z-7+5z\right)+4\left(-9+6z+9z+9\right)=6\left(-2+7z\right)-5\left(-2z+9+3-5z\right),linear_equation
\frac{5}{a^{-7}},frac_exponential_expression_3
-2x+6,linear_expression
\frac{-7}{a^{-6}},frac_exponential_expression_3
9\left(-7z-7\right)-7\left(-4-2z-1-5z\right),distributor_expression
\frac{2}{3^a},frac_exponential_expression_2
a=3,solution_equation
2\left(-9+6y\right),distributor_expression
\frac{-4}{4^{-2}},frac_exponential_expression_1
6+x+6-4x,linear_expression
\frac{1}{a^b},frac_exponential_expression_4
-3a+2b+8c,variable_expression1
\frac{4}{a^2},frac_exponential_expression_3
{-1}^{-5a-8},exponential_expression_1_1
-2\left(-6x+6+4x+8\right)=-7\left(1-3x\right),linear_equation
\frac{8}{-\left(2^a\right)},frac_exponential_expression_2
a^b,exponential_expression_4
\frac{7}{-\left(3^7\right)},frac_exponential_expression_1
\frac{-3}{a^b},frac_exponential_expression_4
\frac{-2}{7^a},frac_exponential_expression_2
a^b,exponential_expression_4
a,variable
-\left(7^a\right),exponential_expression_2
\frac{-1}{-\left(5^{-6}\right)},frac_exponential_expression_1
{-1}^{-7a+8},exponential_expression_1_1
-7a+9b+7c,variable_expression1
-2a-2b-8c,variable_expression1
a^{-8},exponential_expression_3
-\left(4^{-8}\right),exponential_expression_1
-\left(9^a\right),exponential_expression_2
8a b c,variable_expression2
a=3,solution_equation
-4a b c,variable_expression2
-\left(2^a\right),exponential_expression_2
