Math Expression,Expression Name
-9\left(\frac{2}{3}+6x-3+9x\right)+\frac{5}{7} \left(4x+\frac{3}{4}-6.7x-4\right),distributor_expression
\frac{3}{7}+8.7x-7x-\frac{1}{2},linear_expression
\frac{5}{7} x+1=0,linear_equation
\frac{1}{2} x-\frac{1}{7}-\frac{1}{8}+9x,linear_expression
\frac{7}{6} \left(x-\frac{9}{5}\right)+5\left(-2.8x+6.5\right),distributor_expression
\frac{-7}{3} \left(\frac{-1}{2} x-3\right)+\frac{3}{4} \left(\frac{5}{9} x+6.8+6.1x+\frac{6}{5}\right),distributor_expression
\frac{-5}{2} x+7-2+9x,linear_expression
\frac{-1}{3}+3.5x,linear_expression
5.8\left(-8-8x\right)=\frac{-7}{8} \left(6.1+5.1x-5.5x-6\right),linear_equation
\frac{1}{8} \left(0.7+9x\right),distributor_expression
-8.2x+7,linear_expression
-2.5-\frac{1}{4} x+1.1-6x=-4x-\frac{7}{4}-2.6+2x,linear_equation
\frac{5}{2} x-1.7-6x+6=0,linear_equation
-8-x+2x+2.5,linear_expression
\frac{-1}{4} x-3.2=\frac{7}{3} \left(\frac{3}{2} x-\frac{5}{7}-\frac{4}{9} x-7.8\right)-6\left(\frac{-2}{7} x+\frac{4}{3}\right),linear_equation
6\left(1+\frac{3}{4} x+4.6x-9\right),distributor_expression
\frac{1}{4}-6x+\frac{3}{2} x+8=\frac{1}{3}+\frac{5}{9} x+\frac{5}{8} x+6.1,linear_equation
\frac{-5}{6}-5.8x,linear_expression
6.4+5x+\frac{6}{7} x+\frac{8}{3},linear_expression
-0.7x+5,linear_expression
2.6\left(-4x-\frac{1}{2}\right)+\frac{1}{3} \left(\frac{-2}{3} x-6.7\right),distributor_expression
\frac{3}{2}-\frac{1}{8} x=\frac{1}{6} x+6.2-8+7.8x,linear_equation
\frac{7}{4}+4.6x+\frac{4}{9} x+4.8,linear_expression
\frac{9}{7} \left(\frac{3}{7}+8.7x\right)-8\left(\frac{1}{4}-x+\frac{1}{2} x-7.5\right),distributor_expression
\frac{-4}{3} \left(2.7x-\frac{1}{9}-1.1+2x\right)+6\left(-8.9-5x+7+5x\right),distributor_expression
\frac{7}{8}+\frac{3}{7} x+\frac{6}{5} x-\frac{1}{3},linear_expression
\frac{1}{3} \left(6x-2.3\right)-\frac{7}{3} \left(\frac{-4}{7} x+\frac{1}{2}+\frac{3}{2}-5x\right),distributor_expression
-9x+\frac{1}{2}=\frac{2}{3} \left(\frac{3}{4}-3x+1.3-2.7x\right),linear_equation
\frac{5}{4} \left(5.2x-\frac{2}{5}\right)+3.8\left(-6.3-\frac{2}{5} x\right),distributor_expression
5x+5.6,linear_expression
\frac{2}{5} \left(6x-5\right)-\frac{5}{2} \left(8.4-1.8x+3.3x+9\right),distributor_expression
\frac{-3}{7} x-\frac{1}{4}=0,linear_equation
\frac{-1}{6} x+1.9,linear_expression
6\left(-3-\frac{2}{5} x\right)-\frac{8}{5} \left(\frac{-5}{9} x+6-8+4.1x\right),distributor_expression
-8-\frac{1}{2} x+\frac{5}{7} x-6,linear_expression
\frac{3}{2}-0.8x+9-8.1x,linear_expression
-9\left(\frac{1}{2} x-9\right)-6\left(-5x+\frac{3}{2}\right),distributor_expression
\frac{3}{2} x+\frac{8}{3},linear_expression
\frac{-3}{8} \left(-2x+3.3+2.6x-5\right)-3\left(-2x+5.8+\frac{6}{5}+6x\right),distributor_expression
\frac{-2}{3}+\frac{2}{9} x,linear_expression
9\left(\frac{2}{7} x+6\right),distributor_expression
\frac{-4}{3} \left(6.7+x+3.6-\frac{4}{5} x\right),distributor_expression
3x+0.6,linear_expression
